Key,ExitTime,Symbol,EntryPrice,Quantity,Pnl,Date
2020-08-20 09:22:00,2020-08-20 09:39:00,BANKNIFTY20AUG2021900CE,131.29999999999998,-25,-1142.5000000000005,2020-08-20
2020-08-20 10:13:00,2020-08-20 10:34:00,BANKNIFTY20AUG2021900CE,167.7,-25,-307.5000000000003,2020-08-20
2020-08-20 10:43:00,2020-08-20 10:54:00,BANKNIFTY20AUG2021900CE,169.7,-25,-318.75,2020-08-20
2020-08-20 12:07:00,2020-08-20 12:35:00,BANKNIFTY20AUG2021900CE,179.95,-25,2278.75,2020-08-20
2020-08-20 09:45:00,2020-08-20 09:47:00,NIFTY20AUG2011400PE,82.15,-75,-573.7499999999993,2020-08-20
2020-08-20 10:19:00,2020-08-20 12:35:00,NIFTY20AUG2011400PE,78.60000000000001,-75,-644.9999999999995,2020-08-20
2020-08-20 13:02:00,2020-08-20 13:08:00,NIFTY20AUG2011350PE,47.55,-75,-644.9999999999995,2020-08-20
2020-08-20 13:13:00,2020-08-20 13:15:00,NIFTY20AUG2011350PE,41.150000000000006,-75,1608.7500000000005,2020-08-20
2020-08-20 09:39:00,2020-08-20 11:31:00,BANKNIFTY20AUG2022000PE,103.95,-25,1298.75,2020-08-20
2020-08-21 10:05:00,2020-08-21 13:16:00,NIFTY27AUG2011350CE,120.85,-75,-356.2499999999989,2020-08-21
2020-08-21 10:05:00,2020-08-21 13:15:00,BANKNIFTY27AUG2022300CE,277.35,-25,-326.2500000000003,2020-08-21
2020-08-21 09:23:00,2020-08-21 11:42:00,NIFTY27AUG2011450PE,119.7,-75,-903.7499999999998,2020-08-21
2020-08-21 12:12:00,2020-08-21 12:46:00,NIFTY27AUG2011400PE,97.05,-75,-221.25000000000023,2020-08-21
2020-08-21 12:54:00,2020-08-21 15:01:00,NIFTY27AUG2011450PE,122.45,-75,-378.7499999999998,2020-08-21
2020-08-21 09:19:00,2020-08-21 15:14:00,BANKNIFTY27AUG2022300PE,369.5,-25,2025.0,2020-08-21
2020-08-24 09:34:00,2020-08-24 10:17:00,NIFTY27AUG2011450CE,60.95,-75,-236.24999999999935,2020-08-24
2020-08-24 10:25:00,2020-08-24 11:54:00,NIFTY27AUG2011450CE,60.95,-75,-258.7500000000002,2020-08-24
2020-08-24 10:08:00,2020-08-24 10:14:00,BANKNIFTY27AUG2022500CE,295.45,-25,-261.2499999999997,2020-08-24
2020-08-24 10:22:00,2020-08-24 10:46:00,BANKNIFTY27AUG2022600CE,237.0,-25,-200.0,2020-08-24
2020-08-24 09:43:00,2020-08-24 12:45:00,NIFTY27AUG2011500PE,110.5,-75,2730.0000000000005,2020-08-24
2020-08-24 09:20:00,2020-08-24 11:54:00,BANKNIFTY27AUG2022600PE,259.95,-25,2098.7499999999995,2020-08-24
2020-08-25 09:40:00,2020-08-25 10:40:00,NIFTY27AUG2011450CE,96.65,-75,2598.7500000000005,2020-08-25
2020-08-25 10:25:00,2020-08-25 10:50:00,BANKNIFTY27AUG2023000CE,257.95,-25,2615.0,2020-08-25
2020-08-25 09:22:00,2020-08-25 09:41:00,NIFTY27AUG2011550PE,83.60000000000001,-75,-382.4999999999996,2020-08-25
2020-08-25 11:06:00,2020-08-25 11:55:00,NIFTY27AUG2011500PE,87.9,-75,1196.2500000000002,2020-08-25
2020-08-25 09:20:00,2020-08-25 10:40:00,BANKNIFTY27AUG2023000PE,227.7,-25,-486.25000000000045,2020-08-25
2020-08-25 11:06:00,2020-08-25 13:18:00,BANKNIFTY27AUG2023100PE,309.95,-25,2940.0,2020-08-25
2020-08-26 09:58:00,2020-08-26 10:36:00,NIFTY27AUG2011450CE,62.05,-75,-532.5000000000001,2020-08-26
2020-08-26 11:00:00,2020-08-26 12:46:00,NIFTY27AUG2011450CE,64.45,-75,-352.5000000000002,2020-08-26
2020-08-26 13:02:00,2020-08-26 13:11:00,NIFTY27AUG2011450CE,65.45,-75,-438.7499999999996,2020-08-26
2020-08-26 13:40:00,2020-08-26 13:45:00,NIFTY27AUG2011450CE,64.7,-75,-337.5,2020-08-26
2020-08-26 09:52:00,2020-08-26 10:27:00,BANKNIFTY27AUG2023200CE,183.15,-25,-688.7500000000002,2020-08-26
2020-08-26 10:57:00,2020-08-26 14:05:00,BANKNIFTY27AUG2023200CE,206.7,-25,-566.2500000000001,2020-08-26
2020-08-26 14:12:00,2020-08-26 14:31:00,BANKNIFTY27AUG2023300CE,149.39999999999998,-25,-297.50000000000085,2020-08-26
2020-08-26 09:20:00,2020-08-26 09:48:00,NIFTY27AUG2011550PE,85.75,-75,-840.0000000000002,2020-08-26
2020-08-26 10:48:00,2020-08-26 11:00:00,NIFTY27AUG2011500PE,60.35,-75,-356.2499999999995,2020-08-26
2020-08-26 11:45:00,2020-08-26 12:01:00,NIFTY27AUG2011550PE,93.95,-75,-468.75,2020-08-26
2020-08-26 12:16:00,2020-08-26 12:25:00,NIFTY27AUG2011550PE,92.2,-75,-404.9999999999994,2020-08-26
2020-08-26 12:42:00,2020-08-26 15:07:00,NIFTY27AUG2011550PE,92.6,-75,3847.500000000001,2020-08-26
2020-08-26 09:19:00,2020-08-26 14:53:00,BANKNIFTY27AUG2023200PE,189.95,-25,2973.7499999999995,2020-08-26
2020-08-27 09:40:00,2020-08-27 11:01:00,NIFTY27AUG2011550CE,50.0,-75,-525.0,2020-08-27
2020-08-27 11:09:00,2020-08-27 11:25:00,NIFTY27AUG2011550CE,53.25,-75,-378.7499999999998,2020-08-27
2020-08-27 11:43:00,2020-08-27 12:10:00,NIFTY27AUG2011550CE,54.650000000000006,-75,-311.2499999999994,2020-08-27
2020-08-27 12:35:00,2020-08-27 15:08:00,NIFTY27AUG2011550CE,50.35,-75,3007.5,2020-08-27
2020-08-27 09:39:00,2020-08-27 12:09:00,BANKNIFTY27AUG2023500CE,154.25,-25,-641.2500000000001,2020-08-27
2020-08-27 12:34:00,2020-08-27 13:12:00,BANKNIFTY27AUG2023600CE,94.75,-25,-643.75,2020-08-27
2020-08-27 13:30:00,2020-08-27 13:32:00,BANKNIFTY27AUG2023500CE,146.35,-25,571.2499999999999,2020-08-27
2020-08-27 09:22:00,2020-08-27 09:59:00,NIFTY27AUG2011650PE,66.2,-75,-648.7499999999993,2020-08-27
2020-08-27 10:17:00,2020-08-27 10:41:00,NIFTY27AUG2011650PE,67.60000000000001,-75,-502.4999999999992,2020-08-27
2020-08-27 12:29:00,2020-08-27 13:14:00,NIFTY27AUG2011650PE,49.95,-75,-1848.7499999999995,2020-08-27
2020-08-27 14:03:00,2020-08-27 14:26:00,NIFTY27AUG2011600PE,37.150000000000006,-75,-566.2499999999998,2020-08-27
2020-08-27 14:47:00,2020-08-27 15:09:00,NIFTY27AUG2011600PE,26.25,-75,-1297.4999999999998,2020-08-27
2020-08-27 09:20:00,2020-08-27 12:24:00,BANKNIFTY27AUG2023700PE,152.7,-25,1717.4999999999998,2020-08-27
2020-08-28 10:14:00,2020-08-28 10:30:00,NIFTY03SEP2011550CE,122.0,-75,-600.0,2020-08-28
2020-08-28 09:30:00,2020-08-28 10:10:00,NIFTY03SEP2011600PE,86.8,-75,-311.25000000000045,2020-08-28
2020-08-28 10:29:00,2020-08-28 11:35:00,NIFTY03SEP2011650PE,113.35,-75,1983.75,2020-08-28
2020-08-28 09:19:00,2020-08-28 09:47:00,BANKNIFTY03SEP2023900PE,388.45,-25,2118.75,2020-08-28
2020-09-01 09:48:00,2020-09-01 09:55:00,NIFTY03SEP2011400CE,147.6,-75,3630.0,2020-09-01
2020-09-01 09:46:00,2020-09-01 11:11:00,BANKNIFTY03SEP2023900CE,479.25,-25,4665.000000000001,2020-09-01
2020-09-02 09:20:00,2020-09-02 09:28:00,NIFTY03SEP2011450CE,75.95,-75,-1083.7500000000002,2020-09-02
2020-09-02 10:05:00,2020-09-02 14:15:00,NIFTY03SEP2011450CE,92.7,-75,-622.4999999999998,2020-09-02
2020-09-02 09:21:00,2020-09-02 09:36:00,BANKNIFTY03SEP2023700CE,284.0,-25,-1584.9999999999995,2020-09-02
2020-09-02 09:51:00,2020-09-02 10:25:00,BANKNIFTY03SEP2023600CE,337.95,-25,2673.7499999999995,2020-09-02
2020-09-02 09:28:00,2020-09-02 10:20:00,NIFTY03SEP2011550PE,101.2,-75,-1181.25,2020-09-02
2020-09-02 10:47:00,2020-09-02 14:15:00,NIFTY03SEP2011500PE,81.75,-75,3067.5,2020-09-02
2020-09-02 09:33:00,2020-09-02 10:12:00,BANKNIFTY03SEP2023700PE,267.75,-25,-1031.25,2020-09-02
2020-09-02 10:45:00,2020-09-02 10:56:00,BANKNIFTY03SEP2023700PE,320.1,-25,-790.0000000000006,2020-09-02
2020-09-02 11:16:00,2020-09-02 12:26:00,BANKNIFTY03SEP2023800PE,315.45,-25,-1770.0000000000002,2020-09-02
2020-09-02 12:44:00,2020-09-02 12:50:00,BANKNIFTY03SEP2023700PE,278.1,-25,-1207.5000000000002,2020-09-02
2020-09-02 13:14:00,2020-09-02 13:16:00,BANKNIFTY03SEP2023700PE,285.6,-25,-1040.0000000000005,2020-09-02
2020-09-03 09:27:00,2020-09-03 10:26:00,NIFTY03SEP2011500CE,65.4,-75,-592.4999999999993,2020-09-03
